filename,title
mdp.39015062609188,Shalimar the clown : a novel 
mdp.39015062619468,Mother's milk : a novel 
mdp.39015062819795,Beside the ocean of time 
mdp.39015062822005,The secret river 
mdp.39015062840825,Slow man 
mdp.39015062895928,The inheritance of loss 
mdp.39015063300969,Carry me down 
mdp.39015063372547,The night watch 
mdp.39015064682555,Theft : a love story 
mdp.39015064690400,The testament of Gideon Mack 
mdp.39015064707931,Gathering the water 
mdp.39015064764833,To the edge of the world 
mdp.39015064913398,Kalooki nights 
mdp.39015064952255,Gifted 
mdp.39015064983839,Mister Pip 
mdp.39015066051494,Possession : a romance 
mdp.39015066052807,G.
mdp.39015066055636,Fireflies.
mdp.39015066058192,In a free state.
mdp.39015066060719,Disgrace 
mdp.39015066074710,A fine balance : a novel 
mdp.39015066086391,The dark room 
mdp.39015066088157,The famished road 
mdp.39015066843908,The emperor's children 
mdp.39015068802894,Animal's people 
mdp.39015069302704,The gathering 
mdp.39015069332321,What was lost 
mdp.39015069332453,The gift of rain 
mdp.39015069333014,On Chesil Beach 
mdp.39015070702983,Self help : a novel 
mdp.39015070739423,Winnie and Wolf 
mdp.39015073951629,The clothes on their backs 
mdp.39015076175135,A case of exploding mangoes 
mdp.39015077670670,A fraction of the whole 
mdp.39015078770156,Heliopolis 
mdp.39015078779694,The wilderness 
mdp.39015079164029,Me Cheeta : the autobiography.
mdp.39015080837720,Brooklyn 
mdp.39015080843439,The quickening maze 
mdp.39015080859039,February 
mdp.39015082681167,From A to X : a story in letters 
mdp.39015082681654,Sea of poppies 
mdp.39015082722680,Girl in a blue dress 
mdp.39076002852692,Summertime : fiction 
mdp.49015000704719,The fire-dwellers.
mdp.49015000706649,"The sea, the sea "
mdp.49015001010801,The vivisector.
mdp.49015002301555,The ghost road 
mdp.49015002539972,English passengers 
mdp.49015002801653,The amber spyglass 
mdp.49015002836949,The light of day 
mdp.49015002837798,Any human heart : a novel 
mdp.49015003022507,Arthur & George 
mdp.49015003130987,"Time's arrow, or, The nature of the offense "
osu.32435013698519,Last letters from Hav 
pst.000013408435,The handmaid's tale 
pst.000026751405,Cat's eye 
pst.000032944716,The underground man 
pst.000033164229,"How late it was, how late "
pst.000033215181,Europa 
pst.000048619752,The butcher boy 
txu.059173008794478,A bend in the river 
uc1.$b391729,Fire from heaven.
uc1.$b396517,I'm the king of the castle
uc1.$b396601,A green equinox.
uc1.$b792347,The elected member.
uc1.$b800569,From scenes like these [by] Gordon M. Williams.
uc1.31158004848759,King Fisher lives 
uc1.31158007693160,Mrs. Palfrey at the Claremont.
uc1.31822000811240,The road to Lichfield 
uc1.31822002027951,The good apprentice 
uc1.32106002031307,The chant of Jimmie Blacksmith.
uc1.32106006921719,Flaubert's parrot 
uc1.32106007420166,The old devils 
uc1.32106007693663,An artist of the floating world 
uc1.32106007831370,The book and the brotherhood 
uc1.32106010331418,Remembering Babylon 
uc1.32106010335955,Midnight's children 
uc1.32106011355572,Dorian : an imitation 
uc1.32106011373419,Family matters 
uc1.32106011764567,Crossing the river 
uc1.32106012894223,The riders 
uc1.32106014751256,Reading in the dark 
uc1.32106014774126,Rites of passage 
uc1.32106015775429,True history of the Kelly gang 
uc1.32106016410091,The keepers of truth : a novel 
uc1.32106016735224,The blue tango 
uc1.32106016892413,The element of water 
uc1.32106018081080,The accidental 
uc1.32106018265881,Daughters of the house 
uc1.32106018494366,Life & times of Michael K 
uc1.32106018499274,Schindler's list 
uc1.32106018712999,In the country of men 
uc1.32106018716867,The perfect man 
uc1.32106018741170,So many ways to begin 
uc1.32106018742186,The other side of the bridge 
uc1.32106018839313,Darkmans 
uc1.32106018921913,When we were orphans 
uc1.32106019238994,Shroud 
uc1.32106019834552,Child 44 
uc1.b000552199,Gossip from the forest 
uc1.b2838527,The conjunction: a novel.
uc1.b3435475,Impossible object.
