htid	page_number	page_tokens
uc1.b3472762	1	[]
uc1.b3472762	2	[]
uc1.b3472762	3	[]
uc1.b3472762	4	[]
uc1.b3472762	5	['c', 'e', 'g', 'lan', 'n', 'pe', 'r', 'u']
uc1.b3472762	6	['e', 'f', 'g', 'r', 'u']
uc1.b3472762	7	['barry', 'c', 'e', 'e', 'england', 'h', 'k', 'l', 'n', 'n', 'n', 'new', 'p', 'r', 'r', 'u']
uc1.b3472762	8	['america', 'barry', 'campbell', 'cape', 'card', 'catalog', 'congress', 'connelly', 'conventions', 'copyright', 'copyright', 'current', 'england', 'england', 'go', 'home', 'house', 'international', 'jonathan', 'library', 'limited', 'loan', 'london', 'manufactured', 'new', 'number', 'permission', 'printing', 'published', 'random', 'reproduced', 'reserved', 'rights', 'second', 'show', 'stack', 'states', 'states', 'united', 'united', 'way', 'york']
uc1.b3472762	9	['ey', 'fe', 'h', 'p', 'r']
uc1.b3472762	10	[]
uc1.b3472762	11	['ansell', 'astonishment', 'backs', 'beaten', 'behind', 'camp', 'close', 'come', 'come', 'come', 'edification', 'extent', 'follow', 'formed', 'go', 'hands', 'hands', 'harshly', 'humiliations', 'hundred', 'left', 'local', 'macconnachie', 'macconnachie', 'march', 'move', 'night', 'paraded', 'planning', 'population', 'remembering', 'small', 'stared', 'streets', 'suddenly', 'talking', 'tied', 'usual', 'village', 'whispered', 'willyou', 'yes']
uc1.b3472762	12	['ached', 'afternoon', 'ahead', 'air', 'alone', 'along', 'along', 'along', 'anger', 'anguish', 'ansell', 'ansell', 'ansell', 'ansell', 'anything', 'arms', 'away', 'back', 'back', 'back', 'bent', 'better', 'beyond', 'body', 'bottom', 'bound', 'brain', 'cc', 'choking', 'clearly', 'column', 'column', 'committed', 'committed', 'committed', 'constantly', 'contempt', 'contracted', 'deep', 'despised', 'dirty', 'done', 'drop', 'dust', 'edge', 'even', 'eyes', 'face', 'fear', 'fear', 'feared', 'feeding', 'feet', 'fierce', 'front', 'get', 'given', 'glazed', 'goons', 'goons', 'guarded', 'hate', 'hate', 'heads', 'heat', 'hidden', 'hope', 'hour', 'idea', 'iilen', 'informed', 'kill', 'knew', 'late', 'lay', 'lay', 'left', 'less', 'less', 'look', 'macconnachie', 'macconnachie', 'macconnachie', 'macconnachie', 'macconnachie', 'macconnachie', 'macconnachie', 'make', 'make', 'man', 'man', 'massive', 'men', 'mind', 'mountain', 'mountain', 'moved', 'murmured', 'must', 'narrow', 'never', 'one', 'opportunity', 'peak', 'peer', 'pressed', 'prisoners', 'prisoners', 'raggedly', 'remains', 'reminder', 'rid', 'right', 'right', 'saw', 'screamed', 'see', 'sense', 'sheer', 'shoulder', 'shuffle', 'since', 'soared', 'spat', 'still', 'stomach', 'struggled', 'stubborn', 'stumbling', 'submission', 'suffocating', 'sun', 'survive', 'swore', 'terrible', 'terrified', 'thick', 'think', 'thought', 'thought', 'threes', 'threw', 'tired', 'torment', 'toward', 'track', 'trouble', 'unbending', 'way', 'weight', 'wracked']
uc1.b3472762	13	['alight', 'animal', 'ansell', 'ansell', 'ansell', 'anticipation', 'apart', 'armed', 'around', 'attempt', 'body', 'body', 'burp', 'capacity', 'carried', 'catching', 'charged', 'chosen', 'coming', 'completely', 'comrades', 'country', 'crown', 'crudeness', 'cry', 'dangerous', 'deafened', 'desirable', 'din', 'direction', 'dived', 'dizzily', 'echoing', 'edge', 'entire', 'every', 'eyelids', 'eyes', 'face', 'face', 'falling', 'fear', 'fear', 'feel', 'feet', 'fell', 'felt', 'file', 'flank', 'fluttered', 'force', 'forcing', 'former', 'forward', 'frantically', 'freedom', 'front', 'full', 'god', 'goons', 'goons', 'group', 'guns', 'happening', 'head', 'head', 'head', 'however', 'idea', 'instinct', 'jumped', 'keep', 'keeping', 'kept', 'knows', 'language', 'left', 'legs', 'length', 'letting', 'liked', 'lost', 'ludicrous', 'macconnachie', 'macconnachie', 'macconnachie', 'macconnachie', 'macconnachie', 'macconnachie', 'macconnachie', 'macconnachie', 'made', 'man', 'men', 'might', 'moment', 'moment', 'mouth', 'much', 'name', 'need', 'need', 'next', 'one', 'open', 'orientation', 'pace', 'palpable', 'phenomena', 'physical', 'point', 'precipice', 'promise', 'pull', 'put', 'ran', 'ranks', 'realization', 'rear', 'recurring', 'remembering', 'saw', 'scattering', 'shut', 'sick', 'single', 'small', 'something', 'speaks', 'spun', 'stomach', 'stronger', 'struggled', 'stumbling', 'surrendering', 'swung', 'thing', 'thought', 'thought', 'tore', 'trembled', 'tried', 'trunk', 'try', 'tumbled', 'turning', 'twisting', 'unable', 'unaware', 'unpredictability', 'unsling', 'view', 'violence', 'vomiting', 'weapon', 'whether', 'wind', 'yearned']
