htid	page_number	page_tokens
mdp.39015062822005	1	['fe']
mdp.39015062822005	2	[]
mdp.39015062822005	3	[]
mdp.39015062822005	4	[]
mdp.39015062822005	5	['river', 'secret']
mdp.39015062822005	6	['co', 'district', 'f', 'iv', 'map', 'nc', 'new', 'outline', 'r', 'ri', 'settlements', 'south', 'tw', 'v', 'wales']
mdp.39015062822005	7	['e', 'ih', 'jvi', 'limit', 'n', 'trxtur', 'v', 'v']
mdp.39015062822005	8	['australian', 'author', 'bearded', 'book', 'books', 'dark', 'dreamhouse', 'fiction', 'finish', 'history', 'idea', 'joan', 'ladies', 'lilian', 'makes', 'making', 'novels', 'perfection', 'places', 'start', 'stories', 'story', 'sue', 'ten', 'woolfe', 'writing', 'writing', 'written']
mdp.39015062822005	9	['canonhgate', 'edinburgh', 'grenville', 'kate', 'melbourne', 'new', 'river', 'secret', 'york']
mdp.39015062822005	10	['australia', 'available', 'baskerville', 'book', 'books', 'bound', 'britain', 'british', 'british', 'canongate', 'catalogue', 'collection', 'company', 'copyright', 'creative', 'data', 'design', 'digit', 'digit', 'ebbw', 'edinburgh', 'f', 'first', 'grateful', 'great', 'grenville', 'high', 'isbn', 'isbn', 'j', 'k', 'kate', 'library', 'library', 'library', 'ltd', 'map', 'map', 'mt', 'new', 'new', 'office', 'originally', 'oudine', 'permission', 'perry', 'print', 'printed', 'public', 'published', 'published', 'publishing', 'record', 'request', 'reserved', 'rights', 'settlement', 'south', 'south', 'state', 'street', 'text', 'thanks', 'typeset', 'typesetting', 'use', 'vale', 'victoria', 'wales', 'wales', 'wales']
mdp.39015062822005	11	['aboriginal', 'australia', 'dedicated', 'future', 'novel', 'past', 'people', 'present']
mdp.39015062822005	12	[]
mdp.39015062822005	13	['acres', 'clearing', 'contents', 'drawing', 'five', 'forest', 'four', 'hundred', 'line', 'london', 'one', 'part', 'part', 'part', 'part', 'part', 'part', 'place', 'river', 'secret', 'six', 'strangers', 'sydney', 'thornhill', 'three', 'two']
mdp.39015062822005	14	[]
mdp.39015062822005	15	['strangers']
mdp.39015062822005	16	[]
mdp.39015062822005	17	['air', 'alexander', 'around', 'asleep', 'baby', 'barely', 'bark', 'bars', 'better', 'beyond', 'breeze', 'bring', 'bringing', 'bucked', 'cargo', 'child', 'close', 'colony', 'convicts', 'creakings', 'cry', 'curled', 'damp', 'dank', 'darkness', 'door', 'door', 'door', 'doorway', 'doorway', 'earth', 'eighteen', 'end', 'entwined', 'eyes', 'face', 'feel', 'fetched', 'first', 'flap', 'flowing', 'foreign', 'forest', 'full', 'got', 'guard', 'hand', 'hardly', 'huge', 'hundred', 'hut', 'hut', 'life', 'life', 'living', 'lock', 'lock', 'lord', 'majesty', 'mile', 'mile', 'miles', 'moved', 'mud', 'natural', 'need', 'new', 'night', 'night', 'night', 'ocean', 'part', 'passing', 'peaceful', 'penal', 'prison', 'private', 'rich', 'rustlings', 'screen', 'six', 'sleeping', 'small', 'smells', 'soughing', 'sounds', 'south', 'stepped', 'sticks', 'still', 'stood', 'sweet', 'tall', 'ten', 'term', 'thornhill', 'thornhill', 'thornhilts', 'thousand', 'tickings', 'together', 'transported', 'trees', 'wales', 'wall', 'wall', 'water', 'whose', 'wife', 'william', 'year', 'year']
