htid	page_number	page_tokens
mdp.39015066086391	1	[]
mdp.39015066086391	2	[]
mdp.39015066086391	3	[]
mdp.39015066086391	4	[]
mdp.39015066086391	5	['dark', 'room']
mdp.39015066086391	6	[]
mdp.39015066086391	7	['heinemann', 'london', 'william']
mdp.39015066086391	8	['act', 'africa', 'alfred', 'asserted', 'auckland', 'australia', 'australia', 'author', 'available', 'binding', 'book', 'book', 'bound', 'bridge', 'britain', 'british', 'catalogue', 'chatham', 'chatham', 'cip', 'circulated', 'composing', 'condition', 'condition', 'condition', 'conform', 'consent', 'copyright', 'copyright', 'country', 'cover', 'designs', 'dtp', 'endulim', 'environmental', 'essex', 'first', 'forests', 'form', 'glenfield', 'great', 'group', 'group', 'grown', 'heinemann', 'heinemann', 'hired', 'house', 'house', 'house', 'house', 'house', 'house', 'identified', 'imposed', 'including', 'isbn', 'jubilee', 'kent', 'kingdom', 'lent', 'library', 'limited', 'limited', 'limited', 'limited', 'limited', 'london', 'mackays', 'made', 'manufacturing', 'milsons', 'natural', 'new', 'new', 'new', 'origin', 'otherwise', 'otherwise', 'papers', 'parktown', 'patents', 'pic', 'point', 'poland', 'printed', 'prior', 'processes', 'products', 'pty', 'pty', 'published', 'published', 'publisher', 'purchaser', 'rachel', 'rachel', 'random', 'random', 'random', 'random', 'random', 'random', 'rayleigh', 'record', 'recyclable', 'reg', 'regulations', 'resold', 'right', 'road', 'road', 'road', 'seiffert', 'seiffert', 'shall', 'similar', 'sold', 'south', 'south', 'street', 'subject', 'subsequent', 'sustainable', 'sx', 'sydney', 'trade', 'typeset', 'united', 'used', 'vauxhall', 'wales', 'way', 'william', 'william', 'without', 'without', 'wood', 'work', 'zealand', 'zealand']
mdp.39015066086391	9	['helmut', 'yc']
mdp.39015066086391	10	[]
mdp.39015066086391	11	['able', 'able', 'absence', 'already', 'april', 'arm', 'armpit', 'arrives', 'aside', 'baby', 'beautiful', 'bedroom', 'berlin', 'birth', 'brisk', 'busy', 'certainly', 'chest', 'chest', 'clinic', 'closely', 'condition', 'congenital', 'course', 'cradles', 'creases', 'cuddles', 'curved', 'doctor', 'door', 'even', 'everyday', 'fast', 'fault', 'feeds', 'feel', 'felt', 'fingers', 'first', 'fists', 'full', 'gets', 'given', 'grip', 'gurgles', 'happy', 'heads', 'high', 'hindrance', 'hold', 'home', 'home', 'hopes', 'husband', 'impossible', 'inspect', 'kicks', 'knowing', 'knows', 'labour', 'laugh', 'life', 'life', 'limbs', 'litde', 'little', 'long', 'look', 'love', 'loves', 'manual', 'meal', 'midwife', 'midwife', 'might', 'miniature', 'missing', 'months', 'mother', 'moves', 'muscle', 'muscle', 'need', 'never', 'never', 'new', 'new', 'new', 'offbefore', 'parents', 'parents', 'pectoral', 'perfect', 'physiotherapy', 'play', 'premature', 'prior', 'provided', 'put', 'raise', 'reaches', 'ready', 'recommended', 'regular', 'remove', 'required', 'right', 'right', 'serious', 'significant', 'simply', 'skin', 'small', 'smile', 'son', 'son', 'son', 'sport', 'sympathetic', 'takes', 'tasks', 'thinner', 'though', 'time', 'toes', 'told', 'unlike', 'use', 'vest', 'watch', 'wife', 'within', 'work', 'write']
