htid	page_number	page_tokens
mdp.39015064764833	1	[]
mdp.39015064764833	2	[]
mdp.39015064764833	3	[]
mdp.39015064764833	4	[]
mdp.39015064764833	5	['edge', 'harry', 'thompson', 'tke', 'trie', 'world']
mdp.39015064764833	6	[]
mdp.39015064764833	7	['edge', 'harry', 'thompson', 'world']
mdp.39015064764833	8	['alk', 'american', 'argentina', 'artists', 'beagle', 'ca', 'captains', 'charles', 'chile', 'congress', 'copyright', 'cover', 'darkness', 'darkness', 'darwin', 'data', 'edge', 'expedition', 'fellow', 'fiction', 'fiction', 'fiction', 'fiction', 'fiction', 'fiction', 'fitzroy', 'francisco', 'galleries', 'harry', 'harry', 'harry', 'isbn', 'library', 'man', 'marine', 'massey', 'naturalists', 'painting', 'paper', 'patagonia', 'previously', 'published', 'raymond', 'robert', 'san', 'sansome', 'ship', 'ship', 'society', 'store', 'street', 'suite', 'thing', 'thing', 'thompson', 'thompson', 'thomspson', 'title', 'world']
mdp.39015064764833	9	['book', 'father', 'help', 'never', 'whose', 'without', 'written']
mdp.39015064764833	10	[]
mdp.39015064764833	11	['acknowledge', 'act', 'darkness', 'mine', 'scene', 'tempest', 'thing', 'v']
mdp.39015064764833	12	[]
mdp.39015064764833	13	['based', 'closely', 'events', 'novel', 'place', 'real', 'took', 'upon']
mdp.39015064764833	14	[]
mdp.39015064764833	15	[]
mdp.39015064764833	16	[]
mdp.39015064764833	17	[]
mdp.39015064764833	18	[]
mdp.39015064764833	19	[]
mdp.39015064764833	20	[]
mdp.39015064764833	21	['achievement', 'across', 'act', 'ahead', 'almost', 'amount', 'ancient', 'anger', 'another', 'ants', 'ashore', 'aside', 'august', 'away', 'back', 'badge', 'bay', 'beach', 'bennet', 'bent', 'best', 'birth', 'bitterly', 'blood', 'brief', 'buffeted', 'business', 'captain', 'caught', 'ceremonial', 'cliff', 'clothes', 'coat', 'cold', 'completed', 'congealing', 'constitutes', 'curse', 'curse', 'cut', 'cutter', 'damp', 'darting', 'dawning', 'day', 'deference', 'dismissively', 'drenched', 'emaciated', 'famine', 'famine', 'feel', 'figure', 'flung', 'forelock', 'found', 'funnelled', 'furious', 'futile', 'glaciers', 'going', 'gooseflesh', 'government', 'gravel', 'grimy', 'ground', 'gust', 'hair', 'half', 'hunted', 'hurl', 'icy', 'inspected', 'irrelevant', 'jinking', 'jostled', 'journey', 'knees', 'knelt', 'left', 'light', 'magellan', 'majesty', 'majesty', 'marooned', 'merely', 'mock', 'monarch', 'narrows', 'ocean', 'open', 'passed', 'patagonia', 'picked', 'place', 'place', 'place', 'place', 'place', 'place', 'plastered', 'port', 'port', 'preface', 'pringle', 'pull', 'pummelling', 'rank', 'ratings', 'road', 'rocks', 'scabbard', 'scouring', 'scratched', 'service', 'service', 'shifted', 'shivered', 'shouldered', 'signalled', 'skin', 'smooth', 'sodden', 'solitary', 'sought', 'southern', 'speed', 'still', 'stokes', 'stokes', 'stokes', 'stones', 'straits', 'strands', 'struggling', 'sullen', 'sum', 'sweeping', 'target', 'thinning', 'thought', 'thought', 'thought', 'tiny', 'together', 'tore', 'total', 'touching', 'tugged', 'turning', 'unheeding', 'uselessly', 'vanity', 'veins', 'waist', 'walls', 'way', 'weight', 'west', 'whose', 'wind', 'wind', 'wool', 'world', 'wretched', 'york']
mdp.39015064764833	22	['abandoned', 'admiralty', 'admiralty', 'adventure', 'ago', 'allow', 'alone', 'always', 'animals', 'ann', 'ann', 'another', 'apt', 'attempt', 'away', 'beating', 'beech', 'beings', 'belt', 'bennet', 'birds', 'black', 'blanket', 'board', 'boat', 'boat', 'boredom', 'breathing', 'buffoon', 'byron', 'captain', 'care', 'carteret', 'chance', 'christened', 'cloud', 'coast', 'coast', 'come', 'command', 'conceived', 'confines', 'converse', 'couple', 'course', 'curiosity', 'curse', 'curse', 'damned', 'day', 'desolation', 'dies', 'different', 'east', 'east', 'etiquette', 'even', 'even', 'ever', 'excursion', 'familiarity', 'fat', 'feelings', 'figures', 'fingers', 'follow', 'following', 'fool', 'footstep', 'forest', 'frail', 'gaze', 'gesture', 'god', 'god', 'gone', 'grasped', 'grey', 'harry', 'head', 'heavenwards', 'hidden', 'hole', 'human', 'hung', 'icy', 'imbue', 'impressed', 'insects', 'kill', 'king', 'king', 'king', 'lay', 'lean', 'learned', 'least', 'least', 'lifeless', 'lifted', 'little', 'living', 'long', 'lords', 'low', 'man', 'man', 'marked', 'men', 'met', 'miles', 'months', 'much', 'naval', 'nothing', 'obdurate', 'offence', 'one', 'one', 'one', 'orders', 'orders', 'otway', 'per', 'perhaps', 'pistols', 'place', 'place', 'place', 'plan', 'point', 'point', 'practice', 'precisely', 'predecessors', 'prior', 'probably', 'profound', 'proximity', 'put', 'ragged', 'rations', 'reached', 'realized', 'reassurance', 'rest', 'rock', 'scene', 'secretly', 'secured', 'seeking', 'seemed', 'sense', 'sharp', 'shingle', 'shit', 'shone', 'shore', 'shoreline', 'shoreline', 'shrouded', 'silent', 'soar', 'sometimes', 'somewhere', 'soon', 'soul', 'speck', 'spent', 'spiritual', 'spur', 'st', 'st', 'start', 'stepped', 'stokes', 'stupid', 'sudden', 'suddenly', 'suffocating', 'sun', 'swoop', 'take', 'tear', 'thompson', 'time', 'time', 'today', 'today', 'today', 'today', 'truly', 'two', 'unable', 'upon', 'view', 'wall', 'war', 'weeks', 'well', 'wilderness', 'winning', 'winter', 'without', 'wondered', 'wondering', 'wretched', 'yet']
