htid	page_number	page_tokens
mdp.39015005325710	1	[]
mdp.39015005325710	2	[]
mdp.39015005325710	3	[]
mdp.39015005325710	4	[]
mdp.39015005325710	5	[]
mdp.39015005325710	6	['african', 'archives', 'argos', 'briefing', 'canopus', 'cats', 'chief', 'children', 'city', 'colonised', 'country', 'dark', 'descent', 'doris', 'english', 'five', 'four', 'fourteen', 'going', 'golden', 'grass', 'habit', 'hell', 'home', 'jack', 'landlocked', 'lessing', 'loving', 'man', 'marriage', 'marriages', 'martha', 'memoirs', 'notebook', 'old', 'orkney', 'particularly', 'personal', 'planet', 'poems', 'proper', 'pursuit', 'quest', 'ripple', 'shikasta', 'singing', 'small', 'stones', 'stories', 'stories', 'stories', 'stories', 'stories', 'storm', 'summer', 'survivor', 'temptation', 'three', 'two', 'violence', 'voice', 'women', 'zones']
mdp.39015005325710	7	['ire', 'sirmn']
mdp.39015005325710	8	[]
mdp.39015005325710	9	['experiaienrs', 'five', 'ii', 'report', 'sirmn']
mdp.39015005325710	10	['alfred', 'alfred', 'america', 'archives', 'argos', 'book', 'borzoi', 'canopus', 'cataloging', 'congress', 'conventions', 'copyright', 'copyright', 'data', 'date', 'distributed', 'doris', 'doris', 'edition', 'experiments', 'first', 'house', 'international', 'isbn', 'jfe', 'knopf', 'knopf', 'lessing', 'lessing', 'library', 'manufactured', 'may', 'new', 'new', 'publication', 'published', 'published', 'random', 'reserved', 'rights', 'sirian', 'states', 'states', 'title', 'united', 'united', 'york', 'york']
mdp.39015005325710	11	['colonised', 'first', 'five', 'four', 'fourth', 'making', 'marriages', 'planet', 'planet', 'representative', 'second', 'shikasta', 'three', 'zones']
mdp.39015005325710	12	[]
mdp.39015005325710	13	['absurd', 'achieving', 'adding', 'apply', 'backwards', 'believe', 'believe', 'believed', 'black', 'black', 'castes', 'certainties', 'certainties', 'citizens', 'clarification', 'come', 'confusion', 'cosmologies', 'cosmology', 'course', 'created', 'current', 'deal', 'deems', 'dissolve', 'dreadful', 'easily', 'education', 'embattled', 'everywhere', 'extent', 'find', 'five', 'four', 'frequently', 'globe', 'going', 'going', 'great', 'guinea', 'haldane', 'holes', 'holes', 'ideas', 'inaccurate', 'inadequate', 'inhabitants', 'inhabitants', 'intermeshed', 'invisible', 'judged', 'juntas', 'kinds', 'know', 'know', 'laws', 'learn', 'legerdemain', 'less', 'less', 'lesser', 'let', 'lie', 'likely', 'literary', 'little', 'live', 'live', 'marriages', 'marvellous', 'mathematical', 'mechanisms', 'might', 'mirror', 'new', 'nonchalantly', 'nonchalantly', 'ordinary', 'parallel', 'physicist', 'planet', 'political', 'preface', 'property', 'purposes', 'queerer', 'queerer', 'quoted', 'readers', 'realms', 'reason', 'reception', 'religious', 'remains', 'runs', 'say', 'say', 'seem', 'seems', 'seen', 'shikasta', 'sliding', 'small', 'something', 'species', 'species', 'speculate', 'stars', 'strike', 'suggest', 'suggests', 'suppose', 'suppose', 'surprising', 'suspicion', 'swallowing', 'systems', 'talk', 'things', 'think', 'think', 'thought', 'three', 'tidy', 'time', 'time', 'time', 'times', 'told', 'trouble', 'universe', 'universe', 'universes', 'universes', 'universes', 'upon', 'us', 'us', 'us', 'use', 'view', 'view', 'view', 'want', 'warps', 'way', 'way', 'wonder', 'wonder', 'words', 'world', 'wrong', 'yearn', 'yesterday', 'young', 'zones']
