htid	page_number	page_tokens
mdp.39015054164283	1	['bitter', 'dangor', 'fruit', 'grad', 'hmai']
mdp.39015054164283	2	['v']
mdp.39015054164283	3	['bindery', 'ftg', 'g', 'inc']
mdp.39015054164283	4	[]
mdp.39015054164283	5	[]
mdp.39015054164283	6	[]
mdp.39015054164283	7	['achmat', 'bitter', 'books', 'dangor', 'father', 'fruit', 'gordimer', 'kwela', 'mine', 'nadine', 'novel', 'old', 'son', 'story', 'story']
mdp.39015054164283	8	['achmat', 'book', 'book', 'books', 'bound', 'box', 'cape', 'cape', 'copyright', 'cover', 'dangor', 'design', 'design', 'drukkery', 'edition', 'electronic', 'electrostatic', 'first', 'first', 'form', 'goodwood', 'including', 'information', 'isbn', 'jacobs', 'kwela', 'louw', 'magnetic', 'may', 'means', 'mechanical', 'nazli', 'nbd', 'part', 'permission', 'photocopying', 'printed', 'printing', 'pullisher', 'recording', 'reproduced', 'reserved', 'retrieval', 'rights', 'roggebaai', 'storage', 'street', 'street', 'system', 'tape', 'town', 'transmitted', 'venter', 'wale', 'western', 'without', 'written']
mdp.39015054164283	9	['andre', 'divinely', 'earth', 'everything', 'fruits', 'gide', 'memory', 'natural', 'nothing', 'one', 'part', 'speak', 'teach']
mdp.39015054164283	10	[]
mdp.39015054164283	11	['abused', 'accidentally', 'across', 'affected', 'affected', 'alertness', 'along', 'along', 'always', 'angry', 'arrested', 'baldness', 'bastard', 'beans', 'behind', 'best', 'bit', 'blue', 'boise', 'boise', 'boise', 'boise', 'brand', 'bread', 'brutally', 'bullshit', 'cans', 'capable', 'cashier', 'cashier', 'closer', 'coffee', 'collar', 'combed', 'conveyor', 'corrupted', 'corrupts', 'counter', 'cream', 'day', 'denture', 'directly', 'done', 'dry', 'du', 'du', 'du', 'du', 'dying', 'else', 'even', 'even', 'everybody', 'exonerates', 'eyes', 'face', 'face', 'fare', 'forward', 'francois', 'given', 'good', 'grand', 'grey', 'grey', 'groceries', 'groceries', 'hair', 'hands', 'head', 'head', 'help', 'hide', 'holding', 'home', 'inevitable', 'instant', 'jacket', 'jostling', 'kinds', 'larger', 'leaned', 'life', 'like', 'lost', 'lydia', 'man', 'man', 'matching', 'men', 'men', 'milk', 'moved', 'one', 'open', 'past', 'paunch', 'pay', 'pensioner', 'people', 'people', 'pick', 'pictured', 'position', 'powdery', 'power', 'power', 'power', 'purchases', 'push', 'pushing', 'queue', 'rather', 'residue', 'responsibility', 'responsible', 'return', 'ring', 'rooibos', 'run', 'scheme', 'shoes', 'shops', 'side', 'side', 'silas', 'silas', 'silas', 'silas', 'silas', 'silas', 'silas', 'silas', 'skin', 'sliced', 'slight', 'slower', 'someone', 'someone', 'someone', 'someone', 'someone', 'something', 'something', 'something', 'stood', 'strands', 'sunday', 'taking', 'tea', 'teeth', 'things', 'things', 'things', 'thinning', 'though', 'though', 'thought', 'thought', 'today', 'tomatoes', 'towards', 'tuna', 'turned', 'vague', 'watched', 'watched', 'watching', 'way', 'way', 'went', 'white', 'without', 'woman']
mdp.39015054164283	12	['abandoned', 'absorbed', 'acidity', 'ago', 'air', 'allow', 'annoyance', 'ask', 'asked', 'asked', 'attention', 'away', 'back', 'bastard', 'began', 'bewildered', 'boise', 'boise', 'boise', 'boise', 'boise', 'boise', 'boise', 'boise', 'boise', 'boise', 'bothering', 'bright', 'bringing', 'cafe', 'caught', 'centre', 'chair', 'chair', 'chair', 'changing', 'close', 'closer', 'come', 'day', 'decaying', 'disappear', 'done', 'done', 'done', 'draw', 'du', 'du', 'du', 'du', 'du', 'du', 'du', 'du', 'du', 'du', 'ease', 'equally', 'everyday', 'exit', 'eye', 'eyes', 'facing', 'faded', 'faint', 'familiar', 'fart', 'felt', 'flow', 'followed', 'following', 'group', 'guard', 'guard', 'guard', 'halfway', 'hell', 'hell', 'horror', 'hunter', 'important', 'intruded', 'job', 'leaned', 'learned', 'length', 'lieutenant', 'life', 'life', 'live', 'long', 'look', 'look', 'looked', 'looked', 'looked', 'loud', 'loud', 'made', 'make', 'mall', 'man', 'man', 'man', 'man', 'manner', 'matter', 'memory', 'metabolism', 'moment', 'moment', 'moon', 'much', 'next', 'nineteen', 'nostrils', 'oblivious', 'occasionally', 'occasionally', 'old', 'old', 'older', 'one', 'one', 'past', 'pensioner', 'policeman', 'position', 'power', 'prey', 'pulled', 'pushed', 'quickly', 'quietly', 'rage', 'raised', 'ready', 'remember', 'retired', 'reversed', 'sat', 'security', 'security', 'security', 'security', 'shit', 'shop', 'shoppers', 'shoppers', 'shopping', 'shopping', 'sigh', 'silas', 'silas', 'silas', 'silas', 'silas', 'silas', 'silas', 'silas', 'sit', 'situation', 'smell', 'sourly', 'startled', 'startled', 'stench', 'stomach', 'stood', 'stopped', 'stopped', 'store', 'suddenly', 'suffered', 'sunlight', 'suppose', 'table', 'take', 'thought', 'time', 'time', 'towards', 'trolley', 'trolley', 'trying', 'turned', 'uncertainty', 'upon', 'use', 'uttering', 'vulnerability', 'watched', 'watched', 'watching', 'weary', 'windows', 'work', 'wounded', 'yes', 'youngster']
mdp.39015054164283	13	['acquired', 'africa', 'afternoon', 'along', 'ammo', 'answers', 'aside', 'avenue', 'away', 'back', 'back', 'back', 'beer', 'beer', 'beer', 'beer', 'beneath', 'bras', 'bringing', 'bristly', 'brought', 'burped', 'busy', 'cafe', 'ceremony', 'chair', 'circle', 'close', 'collected', 'confidences', 'continued', 'couple', 'decision', 'deep', 'defiantly', 'disconsolately', 'disgust', 'door', 'dragged', 'drank', 'drinking', 'drove', 'dwelt', 'ease', 'elbows', 'enough', 'even', 'eyes', 'eyes', 'face', 'face', 'felt', 'fence', 'flow', 'flushed', 'followed', 'forgetful', 'forgot', 'found', 'fridge', 'fridge', 'fuss', 'gate', 'gathered', 'generously', 'go', 'go', 'good', 'got', 'grass', 'green', 'green', 'group', 'group', 'gruff', 'guard', 'guilty', 'gulps', 'guys', 'hazy', 'heard', 'heart', 'hint', 'hoboes', 'hoboes', 'hoboes', 'home', 'home', 'hot', 'ignored', 'intersection', 'island', 'join', 'kind', 'lawn', 'leaned', 'legs', 'legs', 'legs', 'let', 'located', 'long', 'looked', 'lydia', 'lydia', 'make', 'maroon', 'mellifluous', 'moment', 'moved', 'moved', 'moved', 'must', 'neat', 'new', 'none', 'oases', 'observation', 'obvious', 'one', 'one', 'opened', 'opulent', 'owner', 'pack', 'paper', 'park', 'park', 'park', 'passage', 'passed', 'patches', 'paused', 'peacefulness', 'people', 'people', 'place', 'placed', 'pleasurable', 'pointedly', 'potential', 'pressed', 'provided', 'put', 'quickly', 'radio', 'rage', 'ragged', 'relief', 'remark', 'remembered', 'reminded', 'room', 'sat', 'saying', 'scene', 'seek', 'seen', 'serious', 'silas', 'silas', 'silas', 'sipping', 'sit', 'sitting', 'sixpack', 'slaking', 'slow', 'small', 'smiled', 'smiled', 'smiling', 'solitariness', 'soon', 'soon', 'south', 'spoke', 'spontaneous', 'sprawled', 'squatting', 'stared', 'start', 'streets', 'stretched', 'suburbs', 'sufficiently', 'summon', 'swallows', 'swam', 'table', 'talking', 'tiny', 'tiny', 'tiredness', 'took', 'topic', 'towards', 'townships', 'trauma', 'tudhope', 'turned', 'turned', 'unexpected', 'unspoken', 'upon', 'walked', 'walked', 'walked', 'wariness', 'warmly', 'watch', 'whole', 'window', 'without', 'without', 'witness', 'wondering', 'word']
mdp.39015054164283	14	['absorbed', 'active', 'admonishing', 'along', 'always', 'anxiety', 'arrived', 'artificial', 'asking', 'away', 'back', 'back', 'beasts', 'beer', 'beer', 'blind', 'blind', 'boise', 'born', 'calm', 'came', 'came', 'car', 'carefree', 'changed', 'closest', 'cops', 'cracked', 'crime', 'crime', 'dare', 'days', 'days', 'deserving', 'dispersed', 'drinking', 'drinking', 'driven', 'driven', 'drugs', 'du', 'duet', 'dumb', 'easy', 'easygoing', 'eating', 'engine', 'everyone', 'exactly', 'exterior', 'eyelids', 'face', 'faces', 'favoured', 'feel', 'find', 'find', 'formidable', 'friends', 'girl', 'god', 'god', 'going', 'good', 'got', 'grass', 'grass', 'grow', 'happen', 'head', 'heads', 'heart', 'heart', 'herd', 'hinting', 'hot', 'house', 'illumination', 'imagination', 'innocuous', 'insensitive', 'interest', 'intervene', 'keeping', 'kid', 'kid', 'knew', 'know', 'lay', 'leaking', 'length', 'life', 'light', 'light', 'light', 'like', 'like', 'little', 'longer', 'love', 'lyd', 'lydia', 'lydia', 'lydia', 'make', 'manne', 'meaning', 'mikey', 'mikey', 'mikey', 'mind', 'moment', 'mother', 'mother', 'must', 'needed', 'needing', 'noticed', 'one', 'open', 'pack', 'people', 'people', 'petty', 'petty', 'pouring', 'practical', 'pressed', 'privacy', 'problem', 'problems', 'problems', 'public', 'punish', 'ra', 'raising', 'real', 'really', 'remaining', 'repeated', 'resentful', 'resolve', 'resting', 'revealing', 'revving', 'say', 'secrets', 'service', 'silas', 'silas', 'silas', 'slowly', 'something', 'son', 'soon', 'soon', 'speak', 'speak', 'speaking', 'spoke', 'still', 'street', 'street', 'struck', 'suddenly', 'sun', 'sun', 'take', 'taken', 'taps', 'tell', 'tell', 'things', 'third', 'thought', 'thought', 'three', 'truly', 'try', 'try', 'tsotsi', 'unforgiving', 'van', 'waterhole', 'way', 'way', 'well', 'well', 'went', 'whether', 'wife', 'wife', 'words', 'worse', 'worst', 'young']
mdp.39015054164283	15	['accompanied', 'adult', 'agnes', 'agnes', 'agnes', 'anger', 'anger', 'annoyance', 'asleep', 'away', 'back', 'belching', 'berea', 'booze', 'brought', 'capacity', 'case', 'child', 'christ', 'cold', 'come', 'comradely', 'condescending', 'convey', 'cope', 'dad', 'dad', 'dad', 'drive', 'drove', 'drunkenness', 'elbow', 'emission', 'even', 'expect', 'extended', 'eyes', 'falling', 'farted', 'farts', 'father', 'feet', 'feet', 'feet', 'find', 'find', 'frantic', 'friends', 'fulfilment', 'full', 'gesture', 'go', 'god', 'gossip', 'got', 'grandfather', 'grandmother', 'hand', 'happened', 'heart', 'helped', 'helped', 'high', 'home', 'home', 'house', 'humiliate', 'imagined', 'indian', 'intimacy', 'jackson', 'jackson', 'jackson', 'kind', 'kind', 'knew', 'knew', 'knows', 'lead', 'lenasia', 'lenasia', 'life', 'light', 'like', 'likely', 'listening', 'long', 'looked', 'looks', 'loomed', 'loudly', 'lydia', 'lydia', 'lydia', 'lydia', 'lydia', 'mam', 'mam', 'mam', 'men', 'mikey', 'mikey', 'mikey', 'mikey', 'mikey', 'mikey', 'mikey', 'mikey', 'mind', 'mortal', 'mother', 'motherly', 'music', 'nagging', 'needed', 'nines', 'nothing', 'nothingness', 'offer', 'opened', 'ordinariness', 'ordinary', 'park', 'people', 'people', 'pleadingly', 'probably', 'public', 'public', 'pungent', 'reading', 'recognition', 'relying', 'replaced', 'reserve', 'right', 'rose', 'sat', 'say', 'says', 'scorn', 'seemed', 'sending', 'sense', 'served', 'shoes', 'shutting', 'silas', 'silas', 'silas', 'silas', 'silas', 'silas', 'simple', 'simply', 'sitting', 'sly', 'smiling', 'somehow', 'someone', 'staring', 'steal', 'steering', 'strange', 'strode', 'sun', 'telling', 'things', 'three', 'time', 'tones', 'understanding', 'walked', 'warning', 'way', 'way', 'way', 'weakness', 'wedding', 'well']
mdp.39015054164283	16	['according', 'afternoon', 'agnes', 'agnes', 'agnes', 'agnes', 'along', 'around', 'around', 'asked', 'away', 'back', 'back', 'became', 'became', 'bee', 'beer', 'beer', 'beer', 'better', 'boise', 'boise', 'boise', 'brass', 'brought', 'burnished', 'burping', 'ca', 'car', 'car', 'car', 'car', 'careful', 'case', 'chiding', 'city', 'colour', 'come', 'concentrated', 'dark', 'day', 'day', 'delighting', 'demonstrate', 'disappearing', 'drag', 'dressed', 'drink', 'drink', 'drinking', 'drive', 'drive', 'driving', 'drove', 'drove', 'drove', 'du', 'du', 'du', 'duty', 'egos', 'emphasis', 'even', 'exaggerated', 'eye', 'face', 'fast', 'fingers', 'flapping', 'freeway', 'fucken', 'gate', 'gave', 'gave', 'glancing', 'grandson', 'gripped', 'gulped', 'hand', 'handed', 'haze', 'house', 'house', 'inside', 'jackson', 'jackson', 'jackson', 'jackson', 'joined', 'keys', 'left', 'legs', 'licence', 'lieutenant', 'like', 'long', 'looks', 'loud', 'lydia', 'lydia', 'lydia', 'lydia', 'lydia', 'lydia', 'made', 'mall', 'mam', 'mam', 'mam', 'mam', 'man', 'men', 'men', 'mikey', 'mikey', 'mikey', 'mikey', 'much', 'musical', 'name', 'need', 'needed', 'never', 'night', 'nothing', 'nothing', 'obtained', 'old', 'one', 'outside', 'oversized', 'owner', 'parade', 'pulled', 'queen', 'quickly', 'reaction', 'recently', 'remark', 'resolute', 'rover', 'safe', 'saw', 'shorts', 'sielas', 'sielas', 'silas', 'silas', 'silas', 'silas', 'silas', 'silas', 'slob', 'slow', 'slow', 'smog', 'sober', 'soonjackson', 'soweto', 'stately', 'stay', 'steal', 'steering', 'strode', 'sturdy', 'sun', 'sun', 'swaggered', 'thing', 'things', 'tightly', 'time', 'today', 'tone', 'took', 'towards', 'towards', 'turned', 'two', 'unguarded', 'usually', 'vehicle', 'wait', 'wanted', 'watch', 'watchful', 'went', 'wheel', 'wished', 'women', 'wood', 'words']
