htid	page_number	page_tokens
uc1.32106016410091	1	['adult', 'along', 'america', 'anywhere', 'arrestingly', 'auden', 'author', 'behind', 'best', 'book', 'bravura', 'bridled', 'brightness', 'brilliantly', 'captures', 'collins', 'collins', 'collins', 'collins', 'collins', 'colum', 'community', 'conscientious', 'consistently', 'contemporary', 'country', 'creates', 'cutting', 'daring', 'death', 'delightfully', 'displays', 'draw', 'early', 'edge', 'enough', 'entertaining', 'entire', 'ettler', 'examining', 'existence', 'fiction', 'fine', 'globe', 'great', 'grimly', 'gripping', 'guardian', 'gymnastic', 'headlong', 'historical', 'human', 'hypnotically', 'incestuousness', 'intelligence', 'intricacies', 'irish', 'justine', 'keepers', 'keepers', 'keepers', 'keepers', 'left', 'life', 'literary', 'london', 'london', 'london', 'london', 'london', 'london', 'look', 'mail', 'mail', 'malcontent', 'managing', 'mania', 'mature', 'maturing', 'mccann', 'michael', 'michael', 'michael', 'mood', 'murder', 'muscular', 'mystery', 'new', 'night', 'novel', 'novel', 'novel', 'novel', 'novel', 'observer', 'one', 'one', 'one', 'packs', 'performance', 'picture', 'praise', 'produced', 'prophetic', 'prose', 'provocative', 'provoking', 'rare', 'rare', 'rawness', 'razor', 'read', 'reader', 'rhythm', 'script', 'sensibility', 'serrated', 'set', 'side', 'slow', 'socially', 'something', 'spirit', 'style', 'sunday', 'supplement', 'things', 'though', 'thought', 'throbbing', 'time', 'times', 'times', 'treat', 'tribune', 'truth', 'truth', 'truth', 'truth', 'unputdownable', 'usa', 'voice', 'wild', 'wildly', 'wire', 'wit', 'work', 'writer', 'writer', 'writers', 'year']
uc1.32106016410091	2	[]
uc1.32106016410091	3	[]
uc1.32106016410091	4	[]
uc1.32106016410091	5	['collins', 'dreamt', 'emerald', 'feminists', 'go', 'life', 'lobsters', 'man', 'michael', 'stories', 'stories', 'swimming', 'teaboy', 'times', 'underground']
uc1.32106016410091	6	[]
uc1.32106016410091	7	['collins', 'fiction', 'keepers', 'london', 'michael', 'new', 'novel', 'paperback', 'published', 'schuster', 'scribner', 'simon', 'singapore', 'sydney', 'toronto', 'truth', 'york']
uc1.32106016410091	8	['actual', 'america', 'americas', 'author', 'avenue', 'book', 'britain', 'bulk', 'business', 'center', 'characters', 'city', 'cm', 'coincidental', 'colin', 'collins', 'collins', 'collins', 'congress', 'contact', 'copyright', 'cruz', 'data', 'dead', 'design', 'designed', 'discounts', 'ed', 'edition', 'either', 'entirely', 'events', 'fiction', 'fiction', 'fiction', 'fiction', 'fiction', 'fiction', 'fiction', 'fiction', 'fiction', 'fiction', 'fictitiously', 'first', 'form', 'goudy', 'great', 'house', 'imagination', 'incidents', 'including', 'information', 'isbn', 'joh', 'journalists', 'keepers', 'library', 'library', 'library', 'license', 'life', 'living', 'locales', 'macmillan', 'manufactured', 'michael', 'michael', 'michael', 'middle', 'murder', 'names', 'new', 'novel', 'ny', 'old', 'originally', 'paperback', 'paperback', 'paperback', 'paperback', 'part', 'persons', 'phoenix', 'places', 'plant', 'please', 'products', 'published', 'publisher', 'purchases', 'reference', 'regarding', 'reproduction', 'resemblance', 'reserved', 'right', 'rights', 'rockefeller', 'sales', 'santa', 'schuster', 'schuster', 'schuster', 'scribner', 'scribner', 'scribner', 'scribner', 'set', 'shutdowns', 'simon', 'simon', 'simon', 'special', 'special', 'states', 'style', 'text', 'title', 'town', 'trademarks', 'truth', 'uc', 'united', 'usa', 'used', 'used', 'west', 'whole', 'work', 'work', 'york']
uc1.32106016410091	9	['dedicated', 'parents', 'pl', 'wife']
uc1.32106016410091	10	[]
uc1.32106016410091	11	['anania', 'cats', 'dan', 'frantz', 'jasper', 'judith', 'michael', 'napora', 'rich', 'richard', 'special', 'spike', 'thanks', 'wesley', 'wicklow', 'william']
uc1.32106016410091	12	[]
uc1.32106016410091	13	['keepers', 'truth']
uc1.32106016410091	14	[]
