htid	page_number	page_tokens
mdp.39015012970466	1	[]
mdp.39015012970466	2	[]
mdp.39015012970466	3	[]
mdp.39015012970466	4	[]
mdp.39015012970466	5	['chatterton']
mdp.39015012970466	6	['author', 'country', 'culture', 'diversions', 'dressing', 'eliot', 'ezra', 'fire', 'great', 'hawksmoor', 'last', 'lickpenny', 'life', 'london', 'london', 'new', 'notes', 'oscar', 'pound', 'purley', 'testament', 'wilde', 'world']
mdp.39015012970466	7	['ackroyd', 'chatterton', 'hamilton', 'hamish', 'london', 'peter']
mdp.39015012970466	8	['ackroyd', 'ackroyd', 'britain', 'britain', 'british', 'bury', 'butler', 'cataloguing', 'chatterton', 'copyright', 'data', 'edmunds', 'f', 'first', 'frome', 'great', 'great', 'hamilton', 'hamish', 'isbn', 'lane', 'library', 'linotron', 'london', 'ltd', 'ltd', 'ltd', 'palatino', 'peter', 'peter', 'photoset', 'phototypesetting', 'printed', 'publication', 'published', 'reserved', 'rights', 'rowland', 'somerset', 'st', 'suffolk', 'tanner', 'title', 'wrights']
mdp.39015012970466	9	['christopher']
mdp.39015012970466	10	[]
mdp.39015012970466	11	['accepted', 'across', 'age', 'age', 'age', 'ancient', 'announced', 'antiquity', 'apparently', 'apprenticed', 'arsenic', 'attic', 'attic', 'august', 'authentic', 'began', 'birth', 'booksellers', 'born', 'boy', 'bristol', 'bristol', 'bristol', 'broken', 'brooke', 'brooke', 'burying', 'certain', 'chatterton', 'chatterton', 'chatterton', 'chatterton', 'chatterton', 'chorister', 'church', 'church', 'colston', 'completed', 'composed', 'conflation', 'contemporary', 'covered', 'create', 'de', 'dead', 'declined', 'died', 'door', 'early', 'educated', 'education', 'elegies', 'exist', 'failure', 'fame', 'fascinated', 'father', 'father', 'fell', 'felo', 'fifteen', 'first', 'fixed', 'floor', 'formed', 'found', 'found', 'found', 'gave', 'genius', 'george', 'glad', 'ground', 'held', 'henry', 'holborn', 'hopes', 'image', 'imagination', 'important', 'indolent', 'inquest', 'interred', 'invention', 'journals', 'known', 'lane', 'last', 'lawyer', 'least', 'less', 'like', 'literary', 'london', 'london', 'love', 'lured', 'lying', 'managed', 'manuscript', 'many', 'marvellous', 'mary', 'may', 'medieval', 'medieval', 'meredith', 'model', 'monk', 'months', 'months', 'morning', 'morning', 'mother', 'mother', 'moved', 'muniment', 'next', 'nothing', 'offered', 'old', 'one', 'open', 'ostensibly', 'painting', 'paper', 'past', 'poems', 'poet', 'portrait', 'posterity', 'poverty', 'promptings', 'prospect', 'publish', 'reading', 'redcliffe', 'relations', 'remain', 'room', 'room', 'room', 'room', 'rowley', 'scattered', 'school', 'scraps', 'scraps', 'se', 'sequence', 'seven', 'seventeen', 'shoe', 'shoreditch', 'sixteen', 'small', 'small', 'son', 'st', 'stayed', 'street', 'street', 'struggle', 'style', 'success', 'suicide', 'swallowed', 'thomas', 'thomas', 'three', 'tired', 'told', 'travelled', 'treasure', 'unenthusiastic', 'unfulfilled', 'unique', 'verdict', 'verses', 'verses', 'wallis', 'within', 'work', 'worked', 'workhouse', 'worn', 'writing', 'writing', 'written', 'years', 'years', 'young', 'young']
mdp.39015012970466	12	['across', 'allow', 'appear', 'approaching', 'arms', 'away', 'back', 'bear', 'book', 'boy', 'called', 'chatterton', 'chilled', 'church', 'church', 'cleverest', 'closed', 'come', 'courage', 'cropped', 'crown', 'death', 'death', 'death', 'departure', 'eager', 'else', 'endure', 'ever', 'every', 'eye', 'eyes', 'face', 'face', 'falling', 'fields', 'find', 'flung', 'friend', 'frightened', 'gape', 'gazing', 'girl', 'go', 'got', 'grass', 'half', 'hand', 'head', 'head', 'head', 'head', 'hurricane', 'leaves', 'let', 'light', 'little', 'looked', 'lord', 'luxury', 'lying', 'manner', 'mary', 'meadow', 'meredith', 'meredith', 'merely', 'model', 'movement', 'muttered', 'need', 'needed', 'nigh', 'open', 'open', 'perhaps', 'pillow', 'pity', 'poet', 'poor', 'poor', 'powerfully', 'preparing', 'pretending', 'pushing', 'put', 'put', 'quickly', 'raised', 'ran', 'read', 'redcliffe', 'representation', 'right', 'round', 'sat', 'saying', 'scatter', 'search', 'shoes', 'short', 'shoulder', 'shout', 'show', 'sight', 'sitting', 'sleep', 'someone', 'spot', 'st', 'steps', 'still', 'stopped', 'stopped', 'sure', 'swayed', 'take', 'taking', 'thing', 'time', 'tom', 'tomorrow', 'tower', 'twisted', 'us', 'walk', 'walked', 'wallis', 'wanderer', 'waved', 'wind', 'words', 'worth', 'yes']
mdp.39015012970466	13	['anything', 'arm', 'away', 'begin', 'beside', 'bough', 'bough', 'bowed', 'branch', 'branch', 'building', 'calling', 'chair', 'charles', 'charles', 'charles', 'chatterton', 'chatterton', 'come', 'cool', 'course', 'cut', 'dear', 'deliberate', 'deliver', 'despair', 'despondency', 'disappeared', 'doubled', 'doubt', 'drilling', 'eager', 'end', 'english', 'eyes', 'falling', 'figure', 'full', 'gazing', 'get', 'given', 'gladness', 'glanced', 'ground', 'grown', 'half', 'hammers', 'hand', 'harriet', 'harriet', 'head', 'heard', 'immortalised', 'inside', 'intently', 'know', 'know', 'know', 'know', 'later', 'laughed', 'leaves', 'leaves', 'life', 'literature', 'looked', 'madness', 'man', 'meredith', 'merely', 'might', 'mouth', 'new', 'news', 'noises', 'noticed', 'one', 'pain', 'paused', 'pity', 'poets', 'put', 'quotation', 'quoting', 'replied', 'restraining', 'return', 'returned', 'rolled', 'rose', 'rustling', 'sarah', 'sarah', 'sat', 'sat', 'sawn', 'scrope', 'sick', 'side', 'sorry', 'sound', 'standing', 'starting', 'still', 'stood', 'stopped', 'straight', 'stuck', 'swept', 'thereof', 'think', 'thomas', 'tilt', 'together', 'tongue', 'upon', 'upright', 'want', 'watched', 'workmen', 'wychwood', 'young', 'youth']
mdp.39015012970466	14	[]
mdp.39015012970466	15	['balade', 'broke', 'canynge', 'charitie', 'chatterton', 'chatterton', 'deade', 'excelent', 'face', 'flower', 'forwynd', 'glommed', 'howe', 'look', 'one', 'part', 'pryme', 'scanne', 'seen', 'sommer', 'sprighte', 'story', 'thomas', 'thomas', 'trodde', 'tyme', 'widder', 'william', 'withered', 'ynn', 'ynn', 'ytts']
mdp.39015012970466	16	[]
