htid	page_number	page_tokens
uc1.32106018499274	1	[]
uc1.32106018499274	2	[]
uc1.32106018499274	3	[]
uc1.32106018499274	4	[]
uc1.32106018499274	5	['asmara', 'aurora', 'author', 'bees', 'blacksmith', 'blood', 'books', 'born', 'bring', 'chant', 'cheers', 'children', 'city', 'class', 'confederates', 'daughter', 'dutiful', 'family', 'fear', 'flying', 'forest', 'gossip', 'hero', 'heroes', 'inner', 'jimmie', 'kelly', 'larks', 'madness', 'ned', 'paraclete', 'passenger', 'place', 'place', 'playmaker', 'purgatory', 'red', 'rose', 'sea', 'season', 'sister', 'souls', 'survivor', 'three', 'victim', 'whitton', 'woman']
uc1.32106018499274	6	[]
uc1.32106018499274	7	['london', 'new', 'schindler', 'schuster', 'simon', 'singapore', 'sydney', 'tokyo', 'toronto', 'york']
uc1.32106018499274	8	['actual', 'america', 'americas', 'appreciation', 'art', 'author', 'author', 'available', 'avenue', 'book', 'center', 'characters', 'coincidental', 'colophon', 'congress', 'copyright', 'copyright', 'courtesy', 'cover', 'cruz', 'data', 'dead', 'designed', 'division', 'either', 'entirely', 'eve', 'events', 'extends', 'fiction', 'fictitiously', 'form', 'grateful', 'imagination', 'incidents', 'including', 'isbn', 'leopold', 'leopold', 'library', 'library', 'living', 'locales', 'manufactured', 'mca', 'mca', 'metz', 'names', 'new', 'new', 'page', 'part', 'persons', 'pfefferberg', 'photographic', 'photographs', 'places', 'products', 'pty', 'publishing', 'publishing', 'registered', 'reproduction', 'resemblance', 'reserved', 'reserved', 'right', 'rights', 'rights', 'rights', 'rockefeller', 'sant', 'schuster', 'schuster', 'schuster', 'serpentine', 'service', 'simon', 'simon', 'simon', 'states', 'supplied', 'trademarks', 'united', 'ur', 'used', 'vashem', 'whatsoever', 'whole', 'work', 'yad', 'york', 'york']
uc1.32106018499274	9	['book', 'caused', 'leopold', 'memory', 'oskar', 'persistence', 'pfefferberg', 'schindler', 'written', 'zeal']
uc1.32106018499274	10	[]
