htid	page_number	page_tokens
mdp.39015053111947	1	[]
mdp.39015053111947	2	[]
mdp.39015053111947	3	[]
mdp.39015053111947	4	[]
mdp.39015053111947	5	[]
mdp.39015053111947	6	['among', 'among', 'area', 'arrival', 'barracoon', 'belief', 'believers', 'bend', 'beyond', 'biswas', 'center', 'civilisation', 'companion', 'converted', 'darkness', 'dorado', 'edition', 'el', 'elvira', 'enigma', 'entitled', 'eva', 'excursions', 'family', 'father', 'fiction', 'finding', 'flag', 'free', 'guerrillas', 'house', 'india', 'india', 'islamic', 'island', 'killings', 'knights', 'letters', 'loss', 'masseur', 'men', 'middle', 'miguel', 'million', 'mimic', 'mutinies', 'mystic', 'naipaul', 'nonfiction', 'novels', 'omnibus', 'overcrowded', 'passage', 'peoples', 'peron', 'published', 'return', 'river', 'son', 'south', 'state', 'stone', 'street', 'suffrage', 'three', 'trinidad', 'turn', 'way', 'world', 'wounded']
mdp.39015053111947	7	[]
mdp.39015053111947	8	[]
mdp.39015053111947	9	['alfred', 'knopf', 'new', 'york']
mdp.39015053111947	10	['africa', 'africa', 'alfred', 'alfred', 'alk', 'america', 'american', 'american', 'authors', 'book', 'books', 'borzoi', 'borzoi', 'britain', 'cm', 'colonies', 'colonies', 'colophon', 'congress', 'conventions', 'copyright', 'copyright', 'data', 'date', 'division', 'east', 'ed', 'edition', 'england', 'england', 'fiction', 'fiction', 'fiction', 'fiction', 'fiction', 'fiction', 'first', 'great', 'half', 'house', 'house', 'indians', 'international', 'isbn', 'jlk', 'knopf', 'knopf', 'knopf', 'library', 'life', 'london', 'london', 'manufactured', 'naipaul', 'naipaul', 'naipaul', 'new', 'originally', 'paper', 'picador', 'portugal', 'published', 'published', 'published', 'random', 'random', 'registered', 'reserved', 'rights', 'states', 'states', 'surajprasad', 'title', 'trademarks', 'uk', 'united', 'united', 'vidiadhar', 'york']
mdp.39015053111947	11	[]
mdp.39015053111947	12	[]
mdp.39015053111947	13	['added', 'admire', 'asked', 'began', 'books', 'boys', 'brought', 'came', 'chandran', 'chandran', 'chandran', 'changed', 'college', 'day', 'england', 'english', 'father', 'father', 'father', 'father', 'found', 'get', 'go', 'great', 'grew', 'heard', 'house', 'india', 'india', 'joy', 'left', 'listen', 'long', 'maharaja', 'make', 'material', 'maugham', 'middle', 'mind', 'mocking', 'much', 'name', 'named', 'novel', 'one', 'principal', 'read', 'school', 'seen', 'somerset', 'somerset', 'spirituality', 'story', 'story', 'story', 'sure', 'sure', 'tell', 'things', 'time', 'time', 'took', 'visit', 'willie', 'willie', 'willie', 'willie', 'willie', 'without', 'writer', 'writer']
mdp.39015053111947	14	['afoot', 'among', 'amount', 'anything', 'around', 'authorities', 'back', 'began', 'believe', 'believe', 'big', 'blind', 'book', 'bring', 'brought', 'browning', 'call', 'calm', 'certain', 'chosen', 'come', 'coming', 'courtyard', 'courtyard', 'credit', 'crowd', 'crowds', 'deaf', 'done', 'education', 'eighteen', 'else', 'encounter', 'enemies', 'enemies', 'english', 'english', 'even', 'fellow', 'felt', 'first', 'first', 'foolishly', 'friends', 'gave', 'gifts', 'go', 'going', 'great', 'growing', 'hard', 'heard', 'hounding', 'knew', 'knew', 'knew', 'later', 'life', 'like', 'like', 'literature', 'little', 'living', 'local', 'look', 'looked', 'looked', 'looked', 'lot', 'made', 'maharaja', 'mahatma', 'make', 'man', 'mendicant', 'months', 'must', 'nerves', 'nothing', 'nothing', 'obstinate', 'office', 'officials', 'old', 'outer', 'pages', 'penance', 'people', 'people', 'people', 'perhaps', 'persecution', 'place', 'plot', 'principal', 'principal', 'prosperity', 'public', 'regard', 'renown', 'respect', 'respect', 'response', 'safer', 'sat', 'saw', 'saw', 'say', 'shelley', 'side', 'silence', 'silent', 'someone', 'something', 'something', 'something', 'state', 'state', 'stood', 'studied', 'taken', 'talk', 'talked', 'talked', 'talking', 'tell', 'temple', 'temple', 'though', 'thought', 'three', 'three', 'time', 'travel', 'two', 'unfitted', 'university', 'us', 'vow', 'vow', 'want', 'watch', 'watching', 'white', 'writer', 'writer', 'writer', 'year']
mdp.39015053111947	15	['abroad', 'admiration', 'afternoon', 'afternoon', 'afternoon', 'allowed', 'alms', 'attitude', 'away', 'back', 'barebacked', 'became', 'became', 'began', 'besides', 'book', 'book', 'brought', 'came', 'came', 'career', 'caste', 'changed', 'city', 'clearly', 'clothes', 'coconut', 'college', 'courtyard', 'critics', 'crowds', 'day', 'denial', 'described', 'describing', 'edge', 'everybody', 'everything', 'excitements', 'famous', 'famous', 'festival', 'first', 'flatteringly', 'flour', 'foreign', 'general', 'gifts', 'glittering', 'go', 'good', 'good', 'hard', 'headmaster', 'headmaster', 'high', 'high', 'hoping', 'hot', 'important', 'including', 'india', 'indian', 'jealousy', 'jealousy', 'life', 'light', 'light', 'line', 'lines', 'living', 'lot', 'lot', 'maharaja', 'maharaja', 'maharaja', 'maharaja', 'maharaja', 'man', 'mendicant', 'might', 'notes', 'novel', 'officials', 'old', 'one', 'one', 'palace', 'paragraph', 'people', 'performed', 'perhaps', 'persecution', 'poor', 'poorest', 'pretended', 'principal', 'rage', 'razor', 'religious', 'religious', 'revenue', 'rice', 'rituals', 'role', 'ruler', 'sacred', 'saying', 'secretaries', 'see', 'see', 'seen', 'sent', 'serenity', 'service', 'skin', 'smoothness', 'source', 'spiritual', 'state', 'step', 'stones', 'stones', 'stopped', 'sun', 'surprise', 'temple', 'things', 'things', 'time', 'told', 'travel', 'tried', 'turned', 'turning', 'various', 'vows', 'war', 'way', 'way', 'wearing', 'whole', 'win', 'wishes', 'work', 'worried', 'writer', 'writer', 'writer', 'writer', 'written']
mdp.39015053111947	16	['abroad', 'acquaintances', 'articles', 'attract', 'became', 'become', 'become', 'began', 'began', 'begin', 'begin', 'bestowed', 'breaking', 'brought', 'came', 'came', 'came', 'came', 'cloth', 'coconuts', 'cold', 'contemplating', 'correct', 'courtier', 'detract', 'distinguish', 'ease', 'england', 'english', 'english', 'english', 'error', 'famous', 'fate', 'felt', 'figure', 'find', 'five', 'forced', 'foreign', 'found', 'friend', 'friends', 'good', 'good', 'gossip', 'great', 'hand', 'happens', 'happens', 'high', 'impossible', 'indian', 'instance', 'kind', 'knew', 'know', 'letters', 'letters', 'letters', 'life', 'life', 'life', 'life', 'like', 'little', 'little', 'live', 'liveried', 'london', 'made', 'magazines', 'maharaja', 'make', 'march', 'meant', 'meeting', 'months', 'months', 'name', 'name', 'new', 'november', 'offerings', 'officials', 'often', 'often', 'penitent', 'people', 'people', 'people', 'people', 'periphery', 'pretend', 'previously', 'principally', 'quite', 'recognised', 'satisfaction', 'say', 'scoundrel', 'season', 'season', 'see', 'see', 'see', 'settled', 'slip', 'social', 'someone', 'someone', 'sometimes', 'sometimes', 'sometimes', 'sometimes', 'strange', 'strange', 'subtract', 'talked', 'time', 'tongue', 'truth', 'try', 'version', 'visited', 'visited', 'visited', 'visitors', 'visitors', 'visits', 'want', 'way', 'way', 'weather', 'web', 'weeks', 'well', 'went', 'winter', 'words', 'writer', 'writer', 'writer', 'writer', 'writers', 'years']
