htid	page_number	page_tokens
mdp.39015066058192	1	[]
mdp.39015066058192	2	[]
mdp.39015066058192	3	[]
mdp.39015066058192	4	[]
mdp.39015066058192	5	['free', 'state']
mdp.39015066058192	6	[]
mdp.39015066058192	7	['alfred', 'free', 'knopf', 'new', 'state', 'york']
mdp.39015066058192	8	['alfred', 'america', 'american', 'andre', 'appeared', 'atlantic', 'britain', 'card', 'catalog', 'congress', 'conventions', 'copyright', 'copyright', 'deutsch', 'distributed', 'edition', 'first', 'first', 'great', 'house', 'international', 'isbn', 'knopf', 'library', 'limited', 'london', 'manufactured', 'many', 'naipaul', 'new', 'new', 'number', 'one', 'originally', 'panamerican', 'published', 'published', 'random', 'reserved', 'rights', 'states', 'states', 'united', 'united', 'york', 'york']
mdp.39015066058192	9	['ajournal', 'ajournal', 'circus', 'contents', 'epilogue', 'free', 'kill', 'luxor', 'many', 'one', 'piraeus', 'prologue', 'state', 'tell', 'tramp']
mdp.39015066058192	10	[]
mdp.39015066058192	11	['journal', 'piraeus', 'prologue', 'tramp']
mdp.39015066058192	12	[]
mdp.39015066058192	13	['aboard', 'alexandria', 'american', 'among', 'among', 'arrangements', 'bad', 'bad', 'bar', 'barman', 'barman', 'behind', 'belonged', 'black', 'bulkheads', 'bunks', 'cabins', 'chairs', 'civility', 'coffee', 'counter', 'crossing', 'crowd', 'cupboard', 'day', 'deal', 'deck', 'deck', 'deck', 'despair', 'dingy', 'egypt', 'egypt', 'egypt', 'egypt', 'egyptian', 'enough', 'even', 'everybody', 'expelled', 'felt', 'figures', 'first', 'floor', 'found', 'free', 'good', 'got', 'greek', 'greek', 'greek', 'greeks', 'greeks', 'home', 'humiliations', 'humped', 'idleness', 'invaders', 'italy', 'january', 'lay', 'left', 'left', 'like', 'little', 'little', 'little', 'longer', 'looked', 'lower', 'lucky', 'lunch', 'made', 'made', 'many', 'many', 'mediterranean', 'mood', 'night', 'ones', 'open', 'ought', 'overcrowded', 'overgrown', 'overnight', 'part', 'party', 'passengers', 'passengers', 'pastoral', 'people', 'perhaps', 'piraeus', 'poor', 'public', 'quay', 'ready', 'refugee', 'refugees', 'required', 'room', 'room', 'room', 'sat', 'saw', 'schoolchildren', 'seized', 'serving', 'sheltering', 'ship', 'ship', 'shore', 'sides', 'sittings', 'size', 'sleeping', 'small', 'something', 'soon', 'space', 'speak', 'steamer', 'stewards', 'subdued', 'sun', 'three', 'tired', 'travelling', 'two', 'unemployment', 'upper', 'us', 'watchful', 'went', 'white', 'winches', 'wind', 'wind']
