htid	page_number	page_tokens
uc1.31822000811240	1	[]
uc1.31822000811240	2	[]
uc1.31822000811240	3	['annºn', 'apr', 'california', 'california', 'central', 'date', 'diego', 'diego', 'due', 'httitutluuu', 'interiterary', 'item', 'iſſ', 'jul', 'jun', 'lib', 'library', 'loat', 'may', 'may', 'mºztºf', 'n', 'n', 'n', 'note', 'please', 'recall', 'ry', 'rºſºl', 'san', 'san', 'sep', 'sfp', 'subject', 'sº', 'toa', 'tttttt', 'two', 'tº', 'ucsd', 'un', 'university', 'university', 'utiºusan', 'uvtuttttti', 'way', 'weeks', 'zo', 'zuui', 'º', 'ºn', 'ë', 'ſ']
uc1.31822000811240	4	[]
uc1.31822000811240	5	['lichfield', 'road']
uc1.31822000811240	6	['astercote', 'back', 'books', 'boy', 'children', 'driftway', 'fanny', 'gardens', 'ghost', 'going', 'hagworthy', 'house', 'hunt', 'kempe', 'knights', 'lichfield', 'lively', 'name', 'norham', 'penelope', 'road', 'sister', 'stitch', 'thomas', 'time', 'whispering', 'wild', 'without']
uc1.31822000811240	7	['lichfield', 'lively', 'penelope', 'road']
uc1.31822000811240	8	[]
uc1.31822000811240	9	['actors', 'ado', 'anne', 'anniversary', 'another', 'another', 'another', 'appeared', 'avon', 'banks', 'berkshire', 'better', 'birmingham', 'bypasses', 'car', 'cheery', 'child', 'city', 'civil', 'conceive', 'course', 'daventry', 'deal', 'different', 'different', 'dimension', 'discussed', 'drove', 'edge', 'edgehill', 'either', 'fields', 'fused', 'gathered', 'gave', 'go', 'great', 'guide', 'hand', 'happened', 'horizon', 'husband', 'insects', 'instead', 'intended', 'interchange', 'journey', 'lain', 'landscape', 'landscape', 'last', 'lay', 'left', 'lichfield', 'like', 'like', 'linton', 'lurking', 'memory', 'mirage', 'misty', 'morning', 'motorway', 'much', 'neatly', 'night', 'north', 'obedient', 'obeyed', 'offered', 'one', 'order', 'outing', 'oxford', 'oxford', 'oxford', 'oxfordshire', 'oxfordshire', 'palimpsest', 'past', 'place', 'planning', 'private', 'production', 'public', 'recalled', 'remember', 'right', 'road', 'route', 'route', 'saxon', 'scum', 'seemed', 'seemed', 'seemed', 'shining', 'side', 'side', 'signposts', 'slicing', 'something', 'staffordshire', 'stratford', 'stratford', 'suggesting', 'sun', 'tamworth', 'things', 'though', 'thought', 'time', 'time', 'time', 'towns', 'trafficwise', 'unreal', 'villages', 'war', 'warwickshire', 'warwickshire', 'waved', 'way', 'wedding', 'well', 'whether', 'whim', 'windscreen', 'wings']
uc1.31822000811240	10	['accelerator', 'advice', 'advisedly', 'ahead', 'along', 'along', 'along', 'already', 'approach', 'away', 'back', 'background', 'bare', 'begun', 'behind', 'bicycle', 'brandish', 'brick', 'bumper', 'bumper', 'came', 'came', 'cars', 'centre', 'checked', 'children', 'city', 'clicked', 'coffee', 'comes', 'coming', 'confusion', 'conservative', 'corner', 'course', 'cup', 'curtain', 'cuxing', 'decisions', 'done', 'dot', 'drawn', 'emotion', 'enchanted', 'estimate', 'expect', 'eyes', 'fallen', 'feeling', 'figure', 'fill', 'foot', 'found', 'full', 'gadget', 'ghost', 'glittering', 'glorious', 'happiness', 'hedges', 'home', 'hooted', 'hour', 'however', 'hundred', 'impatiently', 'inclined', 'indeed', 'inspire', 'irrevocable', 'jam', 'joy', 'kerb', 'kitchen', 'last', 'later', 'lay', 'leckford', 'let', 'let', 'lichfield', 'lichfield', 'like', 'little', 'living', 'long', 'loose', 'love', 'made', 'man', 'map', 'map', 'may', 'measured', 'mere', 'method', 'miles', 'miles', 'miles', 'moment', 'muddled', 'music', 'nearly', 'never', 'night', 'obedient', 'odd', 'one', 'parking', 'particular', 'particular', 'perfunctorily', 'personal', 'petrol', 'picked', 'place', 'place', 'point', 'possession', 'privet', 'prolonging', 'pulled', 'pursuit', 'put', 'reckonings', 'relic', 'remembering', 'reunions', 'right', 'road', 'road', 'road', 'route', 'runs', 'sat', 'savoured', 'see', 'see', 'seeing', 'seemed', 'seldom', 'shabby', 'signs', 'slowly', 'someone', 'somewhere', 'sour', 'spaces', 'spoke', 'staring', 'station', 'step', 'step', 'stopped', 'stopping', 'strange', 'street', 'streets', 'swung', 'system', 'table', 'taken', 'thing', 'think', 'thought', 'thought', 'thought', 'time', 'time', 'time', 'time', 'towards', 'towards', 'town', 'traffic', 'trapped', 'turn', 'turning', 'twelve', 'twenty', 'twenty', 'unfamiliar', 'upon', 'us', 'vacillated', 'view', 'visited', 'walk', 'way', 'way', 'whatever', 'wheel', 'wheel', 'wheeling', 'whose', 'window', 'wondering', 'yet', 'young']
