htid	page_number	page_tokens
mdp.39015015451936	1	[]
mdp.39015015451936	2	[]
mdp.39015015451936	3	[]
mdp.39015015451936	4	[]
mdp.39015015451936	5	['education', 'unsentimental']
mdp.39015015451936	6	['aldous', 'bedford', 'best', 'biography', 'compass', 'error', 'faces', 'favourite', 'gods', 'huxley', 'justice', 'legacy', 'otavio', 'sybille', 'visit', 'volumes']
mdp.39015015451936	7	['bedford', 'biographical', 'education', 'hamilton', 'hamish', 'london', 'novel', 'sybille', 'unsentimental']
mdp.39015015451936	8	['auckland', 'australia', 'australia', 'bedford', 'bedford', 'book', 'books', 'books', 'books', 'books', 'britain', 'britain', 'british', 'bungay', 'bury', 'canada', 'canada', 'cataloguing', 'clay', 'copyright', 'copyright', 'copyright', 'data', 'edmunds', 'electronic', 'england', 'england', 'f', 'first', 'form', 'great', 'great', 'group', 'hamilton', 'hamilton', 'hamish', 'hamish', 'harmondsworth', 'inc', 'introduced', 'isbn', 'jigsaw', 'john', 'l', 'lane', 'library', 'limiting', 'london', 'ltd', 'ltd', 'ltd', 'ltd', 'ltd', 'ltd', 'ltd', 'ltd', 'markham', 'may', 'means', 'mechanical', 'middlesex', 'new', 'new', 'new', 'nz', 'offices', 'ontario', 'otherwise', 'owner', 'part', 'penguin', 'penguin', 'penguin', 'penguin', 'penguin', 'penguin', 'permission', 'photocopying', 'photoset', 'phototypesetting', 'printed', 'prior', 'publication', 'publication', 'published', 'published', 'publisher', 'r', 'rd', 'recording', 'registered', 'reproduced', 'reserved', 'reserved', 'retrieval', 'richard', 'rights', 'rights', 'ringwood', 'road', 'rowland', 'st', 'stored', 'street', 'street', 'suffolk', 'suffolk', 'sybille', 'sybille', 'system', 'title', 'transmitted', 'usa', 'victoria', 'viking', 'wairau', 'west', 'without', 'without', 'wrights', 'written', 'york', 'york', 'zealand']
mdp.39015015451936	9	['actually', 'allanah', 'anthony', 'appropriate', 'century', 'different', 'end', 'events', 'half', 'harper', 'history', 'kee', 'later', 'life', 'look', 'looked', 'made', 'much', 'part', 'perhaps', 'powell', 'robert', 'things', 'things', 'things', 'things', 'turn', 'way', 'way']
mdp.39015015451936	10	['aldous', 'aldous', 'author', 'desmirails', 'desmirails', 'else', 'everyone', 'everything', 'extent', 'falkenheims', 'falkenheims', 'huxleys', 'huxleys', 'kislings', 'kislings', 'large', 'mother', 'nairns', 'nairns', 'note', 'percentage', 'seemed', 'times', 'various', 'vi']
mdp.39015015451936	11	['anchorage', 'antecedent', 'chapter', 'chapter', 'chapter', 'chapter', 'chapter', 'chapter', 'chapter', 'chapter', 'chapter', 'chapter', 'chapter', 'chapter', 'chapter', 'chapter', 'contents', 'france', 'fugitives', 'germany', 'ii', 'ii', 'ii', 'iii', 'iii', 'italy', 'iv', 'iv', 'ix', 'landslides', 'part', 'part', 'part', 'part', 'part', 'transit', 'v', 'v', 'vi', 'vii', 'viii', 'x', 'xi', 'xii']
mdp.39015015451936	12	['chapter', 'chapter', 'chapter', 'iv', 'v', 'vi']
mdp.39015015451936	13	['antecedent', 'germany', 'parti']
mdp.39015015451936	14	[]
mdp.39015015451936	15	['able', 'accompliceship', 'active', 'actual', 'afternoon', 'afternoon', 'alone', 'angelic', 'appeal', 'archetype', 'baby', 'bachelor', 'band', 'beach', 'bending', 'blessed', 'bliss', 'boots', 'broad', 'came', 'chambermaid', 'chance', 'coherent', 'coolness', 'copenhagen', 'danish', 'days', 'dead', 'disgust', 'dissolving', 'elucidation', 'enormous', 'exceptionally', 'fall', 'fastidious', 'felt', 'feted', 'fifty', 'first', 'fish', 'fish', 'fish', 'flash', 'flat', 'forty', 'get', 'glistening', 'go', 'good', 'hall', 'hall', 'hat', 'hates', 'hotel', 'instant', 'keep', 'kind', 'knew', 'know', 'know', 'know', 'later', 'later', 'later', 'lay', 'leafy', 'left', 'lifted', 'lightness', 'made', 'man', 'memory', 'memory', 'might', 'mother', 'mother', 'mother', 'mother', 'must', 'nanny', 'nanny', 'nanny', 'nanny', 'nanny', 'narrow', 'narrow', 'narrow', 'nearer', 'next', 'nobody', 'novelist', 'oblivion', 'old', 'peter', 'picked', 'please', 'please', 'please', 'popped', 'pram', 'pram', 'pram', 'pram', 'presently', 'quiet', 'quite', 'reason', 'remained', 'sand', 'sand', 'sand', 'sea', 'sequence', 'shrivelled', 'skaagen', 'sleep', 'small', 'small', 'space', 'space', 'space', 'spoke', 'staying', 'stockings', 'streets', 'streets', 'supposed', 'thick', 'told', 'tone', 'took', 'took', 'trust', 'two', 'urgency', 'veil', 'voice', 'voice', 'vows', 'walk', 'wanted', 'water', 'water', 'water', 'wearing', 'week', 'well', 'wet', 'wheeled', 'wheeled', 'white', 'whole', 'whole', 'wore', 'years', 'years', 'yes']
mdp.39015015451936	16	['able', 'acts', 'almost', 'always', 'angry', 'answer', 'anxious', 'anxious', 'anxious', 'appeared', 'around', 'aversion', 'back', 'back', 'back', 'bad', 'basle', 'basle', 'behind', 'behind', 'belong', 'beside', 'bowl', 'box', 'carriage', 'carry', 'chair', 'child', 'children', 'china', 'choose', 'circle', 'coachman', 'comes', 'controlled', 'convinced', 'cookery', 'cream', 'cream', 'cream', 'cross', 'day', 'day', 'day', 'dead', 'dead', 'delight', 'denmark', 'despair', 'determined', 'discovered', 'dog', 'dogs', 'dread', 'drive', 'egg', 'egg', 'egg', 'egg', 'ensuing', 'entirely', 'ever', 'fades', 'father', 'father', 'father', 'father', 'father', 'father', 'fish', 'fish', 'fish', 'flash', 'floats', 'follows', 'food', 'freiburg', 'freiburg', 'front', 'front', 'future', 'gloves', 'goes', 'goes', 'great', 'great', 'handle', 'high', 'horses', 'hotel', 'house', 'house', 'indicative', 'infants', 'interfere', 'journey', 'journey', 'jumps', 'kicking', 'large', 'late', 'left', 'let', 'lifted', 'light', 'live', 'looks', 'lot', 'love', 'lovers', 'makes', 'mashed', 'memory', 'minutes', 'mother', 'mother', 'nannies', 'needs', 'notices', 'one', 'one', 'one', 'passion', 'people', 'perhaps', 'planned', 'plate', 'plate', 'potatoes', 'pray', 'pray', 'pulls', 'purpose', 'put', 'ready', 'ready', 'recollection', 'recollection', 'relief', 'retain', 'round', 'ruined', 'ruined', 'safe', 'say', 'says', 'says', 'says', 'scandinavia', 'sea', 'sea', 'seat', 'selected', 'sent', 'side', 'sit', 'sit', 'sitting', 'sky', 'small', 'someone', 'sometime', 'soon', 'soup', 'spinach', 'stabbing', 'stands', 'state', 'still', 'stir', 'straining', 'supposed', 'swimming', 'table', 'tendency', 'terribly', 'third', 'three', 'total', 'touch', 'trends', 'two', 'umbrella', 'umbrella', 'uncooked', 'unhappy', 'us', 'voice', 'waiting', 'walking', 'want', 'watch', 'whether', 'whole', 'win', 'window', 'wo', 'wo', 'worse', 'yet', 'yet', 'yolk']
mdp.39015015451936	17	['across', 'another', 'attitudes', 'baden', 'bandages', 'barbarous', 'began', 'berlin', 'berlin', 'besides', 'best', 'blood', 'border', 'bringing', 'brought', 'called', 'came', 'capable', 'carriage', 'casts', 'catastrophic', 'ceased', 'chance', 'changed', 'chests', 'child', 'common', 'compartment', 'compartments', 'concerned', 'corner', 'corridors', 'crutches', 'dangerous', 'day', 'decades', 'died', 'duration', 'english', 'episode', 'events', 'eyebrow', 'faintest', 'father', 'father', 'father', 'fears', 'felden', 'first', 'first', 'flung', 'folly', 'forehead', 'france', 'french', 'french', 'french', 'gash', 'german', 'germany', 'germany', 'germany', 'great', 'grey', 'grey', 'head', 'helped', 'hit', 'house', 'house', 'howled', 'ideas', 'impossible', 'internationalists', 'iron', 'jammed', 'journey', 'killing', 'large', 'later', 'length', 'life', 'like', 'locality', 'long', 'long', 'long', 'longish', 'looking', 'lot', 'loved', 'maiming', 'matter', 'memory', 'memory', 'memory', 'men', 'menace', 'might', 'minutes', 'mob', 'mother', 'mother', 'mother', 'much', 'must', 'nanny', 'narrator', 'never', 'new', 'next', 'nonsense', 'nothing', 'novel', 'old', 'one', 'one', 'one', 'parents', 'park', 'part', 'people', 'people', 'platforms', 'playing', 'poohpoohed', 'prussia', 'put', 'refuge', 'regard', 'ride', 'ruin', 'scandal', 'scar', 'scene', 'see', 'see', 'seeped', 'servants', 'shut', 'small', 'soldiers', 'soldiers', 'soldiers', 'soldiers', 'soldiers', 'southern', 'speaking', 'spent', 'spoke', 'spring', 'stations', 'stayed', 'still', 'stone', 'stone', 'summer', 'swiss', 'take', 'talk', 'talked', 'thought', 'three', 'thrown', 'till', 'told', 'took', 'train', 'trains', 'travelled', 'understood', 'united', 'us', 'used', 'view', 'village', 'waits', 'walking', 'wall', 'war', 'war', 'war', 'war', 'way', 'went', 'whenever', 'wife', 'windows', 'women', 'words', 'worked', 'working', 'wounded', 'wrote', 'yet', 'young']
mdp.39015015451936	18	['abroad', 'affection', 'age', 'ago', 'alive', 'asked', 'astringent', 'back', 'beau', 'beautiful', 'berlin', 'biscuit', 'block', 'brought', 'called', 'called', 'capable', 'caressed', 'celebrated', 'chancellery', 'characters', 'child', 'child', 'child', 'christmas', 'christmas', 'clever', 'cousins', 'critical', 'customs', 'dark', 'darkest', 'daughters', 'day', 'deal', 'decades', 'described', 'described', 'destroyed', 'died', 'different', 'dinners', 'dinners', 'downstairs', 'eat', 'eating', 'edwardian', 'either', 'end', 'england', 'entirely', 'eve', 'everyone', 'exceedingly', 'extremely', 'family', 'family', 'family', 'father', 'feel', 'fell', 'floor', 'forgot', 'fourteen', 'freely', 'gave', 'german', 'ginger', 'ginger', 'give', 'go', 'gold', 'goodness', 'grandchild', 'grandmama', 'grandmama', 'guest', 'happened', 'heads', 'house', 'house', 'house', 'imbibed', 'imperial', 'indeed', 'inhabitants', 'instead', 'insular', 'ivy', 'jewish', 'jewish', 'jewish', 'kind', 'kind', 'laments', 'large', 'late', 'le', 'leading', 'life', 'life', 'life', 'like', 'limited', 'loss', 'made', 'made', 'mahogany', 'margins', 'max', 'merz', 'merz', 'merz', 'might', 'milieu', 'mother', 'mother', 'nearer', 'never', 'next', 'night', 'notice', 'notice', 'novel', 'novel', 'novelist', 'number', 'nut', 'occurred', 'often', 'one', 'one', 'one', 'outlandish', 'outlook', 'parisian', 'particular', 'place', 'plate', 'preposterously', 'presence', 'prevent', 'put', 'quite', 'quite', 'rather', 'rather', 'read', 'real', 'relatives', 'remarks', 'respect', 'rest', 'rest', 'rich', 'room', 'sarcastic', 'saw', 'second', 'second', 'shut', 'since', 'someone', 'spoke', 'stand', 'still', 'stopped', 'strasse', 'strasse', 'summoned', 'table', 'table', 'take', 'take', 'target', 'think', 'thirteen', 'though', 'thought', 'tone', 'treating', 'true', 'two', 'uncles', 'upper', 'use', 'voss', 'voss', 'war', 'way', 'whenever', 'white', 'whole', 'wife', 'wilhelmstrasse', 'women', 'world', 'year', 'youth']
