htid	page_number	page_tokens
mdp.39015056885810	1	[]
mdp.39015056885810	2	[]
mdp.39015056885810	3	[]
mdp.39015056885810	4	[]
mdp.39015056885810	5	['notes', 'scandal']
mdp.39015056885810	6	['author', 'everything', 'know']
mdp.39015056885810	7	['books', 'heller', 'imprint', 'notes', 'penguin', 'scandal', 'viking', 'zoe']
mdp.39015056885810	8	['africa', 'africa', 'airborne', 'albany', 'alcorn', 'asserted', 'auckland', 'australia', 'australia', 'author', 'available', 'avenue', 'avenue', 'book', 'book', 'books', 'books', 'books', 'books', 'books', 'books', 'books', 'britain', 'british', 'bury', 'camberwell', 'camberwell', 'canada', 'canada', 'catalogue', 'centre', 'cip', 'clays', 'cnr', 'community', 'copyright', 'copyright', 'copyright', 'dante', 'delhi', 'edmunds', 'electronic', 'england', 'england', 'first', 'form', 'great', 'group', 'hardback', 'heller', 'hudson', 'india', 'india', 'introduced', 'isbn', 'isbn', 'ives', 'library', 'limiting', 'london', 'london', 'ltd', 'ltd', 'ltd', 'ltd', 'ltd', 'ltd', 'ltd', 'ltd', 'ltd', 'may', 'means', 'mechanical', 'monotype', 'moral', 'new', 'new', 'new', 'new', 'nz', 'offices', 'ontario', 'orl', 'orl', 'otherwise', 'owner', 'p', 'panchsheel', 'paperback', 'park', 'part', 'penguin', 'penguin', 'penguin', 'penguin', 'penguin', 'penguin', 'penguin', 'penguin', 'penguin', 'permission', 'photocopying', 'phototypesetting', 'pic', 'printed', 'prior', 'pry', 'pt', 'publication', 'published', 'published', 'publisher', 'putnam', 'record', 'recording', 'registered', 'reproduced', 'reserved', 'reserved', 'retrieval', 'right', 'rights', 'rights', 'road', 'roads', 'rosebank', 'rosedale', 'rowland', 'set', 'south', 'south', 'st', 'st', 'stored', 'strand', 'strand', 'street', 'sturdee', 'suffolk', 'system', 'toronto', 'trade', 'transmitted', 'typeset', 'usa', 'victoria', 'viking', 'without', 'without', 'written', 'york', 'york', 'zealand', 'zoe']
mdp.39015056885810	9	['avmt', 'frankie', 'larry']
mdp.39015056885810	10	[]
mdp.39015056885810	11	['across', 'actually', 'admired', 'always', 'anticipated', 'anything', 'arrived', 'ask', 'aspects', 'barbara', 'basement', 'boy', 'breath', 'bubble', 'buildings', 'business', 'came', 'came', 'capacity', 'cheese', 'clean', 'cola', 'connolly', 'connolly', 'course', 'darkness', 'decent', 'described', 'dinner', 'eddie', 'eddie', 'embrace', 'envelops', 'every', 'feet', 'fingers', 'first', 'first', 'first', 'foreword', 'fug', 'garden', 'green', 'guessed', 'gum', 'happened', 'heard', 'house', 'inhaled', 'kids', 'kissed', 'kitchen', 'know', 'know', 'laughed', 'laundry', 'like', 'like', 'looking', 'loops', 'low', 'make', 'many', 'march', 'moment', 'nervous', 'never', 'new', 'newsreader', 'night', 'night', 'odour', 'often', 'one', 'onion', 'past', 'perfectly', 'personal', 'plastic', 'pretty', 'probably', 'round', 'saw', 'score', 'scrupulous', 'secrets', 'seem', 'several', 'sheba', 'sheba', 'sheba', 'sheba', 'sheba', 'since', 'sit', 'sits', 'smell', 'smelled', 'soap', 'something', 'something', 'sometimes', 'strong', 'stuff', 'surprised', 'surprising', 'table', 'tablecloth', 'talk', 'talked', 'talking', 'teenagey', 'tells', 'thing', 'things', 'things', 'thought', 'time', 'time', 'time', 'times', 'undress', 'vents', 'voice', 'walking', 'watching', 'whole', 'yes']
